77;222;MoneyGram EUR;EUR MG;978;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;221;MoneyGram USD;USD MG;840;4;1000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;139;Авангард RUB;RUB Авангард;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000100000011000000000000101000100101010101010000111111111111111111101110001000001011101111101100000000000000000010000000000000000000000000
80;84;PayPal EUR;EUR PayPal;978;1;1000100100111111111111010001111000001111001101001011111111110111110100111011001100000111000000110000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000
81;199;Банковский счет GBP;GBP Банк;826;3;1000100100111011110110011000010000101110100010001001111101010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;58;Solana (SOL);SOL;1012;0;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010000001111010000000000101111111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
83;177;Visa/MasterCard TRY;TRY Карта;949;3;1000100100011011000110011000010000101110000010000000111101010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;157;Монобанк UAH;UAH Монобанк;980;3;1011111111111111111111111111111011101111111111011111111111111111111111100011111101010111111111110011100000111000011100000010001101000100100000001000000111111101111101110100000000000000000101100010000000100000000010000100000000000010000000000
85;101;Capitalist RUB;RUB Capitalist;643;1;1011111111111111111111111111111011111111101111111111111111111111111111100011111111011111110111000011100000100001001000000010000101000100111111111111111111111111111111111101110000000001011111111111100000000000000010111100000000000011100000000
86;227;UNI USD;USD UNI;840;4;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;74;Paymer USD;USD Paymer;840;1;0000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
88;86;Advanced Cash USD;USD AdvCash;840;1;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111111111110101101011100100010001101111111111111111111111111111111111111111111111111111101111111111111111111110111011010111110001011110011110111101
89;231;Наличные USD;USD Наличными;840;5;1011101110111111111111011101111011111111111111101111111111111111110101100011110101000111000111000110000000100100000000000000000100000100100000000000000000000000000001000000000100000000000000010100000000000000000010000000000000000010000001000
90;160;HalykBank KZT;KZT HalykBank;398;3;1011100111111111111111111111111001101111101111001001111101111111111111100011111101010111110111110011100000000000001000000010000101001100111110100010100111111100111101011100000000000000000101100010000000000000000000010000000000000000000000000
91;232;Наличные RUB;RUB Наличными;643;5;1010101110111111111111011001111011111111111111101111111111111111100100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000
92;234;Наличные UAH;UAH Наличными;980;5;1000100100011111111111010001010000100110101101001001011101100010110100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
93;1;Bitcoin (BTC);BTC;1050;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111111111010101101111011100011100101111111111111111111111111111111111111111111111111111101111111111111111111110111111011111111111100010011110111101
94;236;Наличные KZT;KZT Наличными;398;5;0000100000111010000110000000000000001010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
95;141;Газпромбанк RUB;RUB ГПБ;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000100000011000000000000101000100100110111110100111111111111111111101110001000001011101111101100000000000000000010000000000000000000000000
96;73;WebMoney WMX;WMX;1049;1;0000000000000000000000000000000000000000000000000000000000000000000000100000000001010000000000110000000000000000000000000000000000000000000000000000000100001000000000010000000000000000000000000000000000000000000000000000000000000000000000000
97;111;Epay EUR;EUR Epay;978;1;0000000000000000000010000000000000000000000000000000000000000000000000000010000000000101000101000000000110000001000000000000000000000000000000000000000000000000000010110100000000000000000000010100000000000000000010000100000000000000000000000
98;83;PayPal RUB;RUB PayPal;643;1;0000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99;12;Litecoin (LTC);LTC;1048;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011111010101101111111000010000101111111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
100;189;Карта UnionPay CNY;CNY UnionPay;156;3;1000000100111100110110011001111000000110000110000000100001000000000000000011000000000111000111000000000000000000001000000000000101000100110110101000000111001001001001011100000000000000000100001000100000000000000000000000000000000000000000000
101;223;Contact USD;USD Contact;840;4;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
102;195;Банковский счет UAH;UAH Банк;980;3;1011111111111111111111111111111011101111101111011001111101111111110111100011110001010111111111000011100000100000000000000010000000000000000000000000000111111100010100010000000000000000000000000010000000100000000000000000000000000000000000000
103;114;Payoneer USD;USD Payoneer;840;1;0000000000000000000010000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000110101000000000010000000000000000000000000000000000000000000000000000000000000010000000000
104;46;ICON (ICX);ICX;1033;0;1011111110111111111111111111111011111111111111101111111111111111111111100011111111011111110111110010100010000101111010000000000101010111111111111111111111111111111111111101010110000000100111111111110111000001000011111100000000000011110011101
105;134;Тинькофф RUB;RUB Тинькофф;643;3;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011111000111000011000000011001101000100100110101111101111111111111111111101110011000001011101111111100010100000000010010100000000000010000000000
106;224;Contact RUB;RUB Contact;643;4;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
107;226;ЗК RUB;RUB ЗК;643;4;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
108;92;Payeer USD;USD Payeer;840;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111111111110101101111100100010001101011111111111111111111111111111111111111101111111111101111111111111111111110111011011111100001000000011110111101
109;107;NixMoney USD;USD NixMoney;840;1;1010100110111111110111000000000001101110000110010000000000000000000000100011001100000111010110001011100000010000001000000010001101001100111111111111110111111101111101010100010000000000000100001010100000000000000000000000000000000000000000000
110;25;USDCoin TRC20 (USDC);USDC TRC20;840;0;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010000001111000000010000101110111111111111111111111111111111111111111111111111101111101111111111111110111011011111100000100000011110111101
111;170;Visa/MasterCard KZT;KZT Карта;398;3;1011100111111111111111111111111001101111101111001001111101111111111111100011111101010111110111110011100000000000001000000010000101001100111110100010100111111101111101011000000000000000000101100010000000000000000000010000000000000000000000000
112;109;Global24 UAH;UAH Global24;980;1;1000000100010100000010000000000000000000000000000000000000000000000000000010000000000100000101000000000000000000000000000000000000000000000000000000000101001000000000010000000000000000000000000000000000000000000000000000000000000000000000000
113;197;Банковский счет KZT;KZT Банк;398;3;1000100100111111110110111001111000101110000110000000111101010000000000000011001000000111000111000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
114;161;Сбербанк KZT;KZT Сбербанк;398;3;1000100100111111110110111001111000101110000110000000111101010000000100000011001001010111000111110000000000000000011000000000000000000000000000000000000000000001011100000100000000000000000000000000000000000000000000000000000000000000000000000
115;15;Dogecoin (DOGE);DOGE;1047;0;1111111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011100010100001111110000010000101110111111111111111111111111111111111111101111111111101111111111111111111110111011011111100000100000011110111101
116;225;ЗК USD;USD ЗК;840;4;1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
117;93;Payeer RUB;RUB Payeer;643;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111000011100000100101001100000110001101011111111111111111111111111111111111111101110001000001011111111111100000000000000010111100000000000011100000000
118;156;ПУМБ UAH;UAH ПУМБ;980;3;1011110111111111111111111111111011101111111111011111111111111111111111100011111101010111111111110011100000111000000000000010001101000100100000000000000111111101111101110100000000000000000101100010000000100000000000000000000000000000000000000
119;204;Банковский счет INR;INR Банк;356;3;1000100100011011000110011000010000101110000010000000111101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
120;88;Advanced Cash EUR;EUR AdvCash;978;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011111110100101011100000011000101011110111111111111111111111111111111111101111111111101111111111111111111110111011010111100000011110011110111101
121;87;Advanced Cash RUB;RUB AdvCash;643;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111110011100000101101001000000110000101111111111111111111111111111111111111111101110001000001011111111111100000000000000010111100001000000011100000000
122;94;Payeer EUR;EUR Payeer;978;1;1011111111111111111111111111111011111111111111111111111111111111111111100011111111011111111111111011111110100101011000000010000101001100111111111111111111111111111111111101111111111101111111111111111111110111011010111100000000000011110111101
123;96;Skrill EUR;EUR Skrill;978;1;1000100100111111111111010001111000001111101101001011111111110111110100111011001101010111000101000000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000
124;42;Verge (XVG);XVG;1030;0;1010111110111111111111111011111011111111111111101111111111111111110101000011011101010111110111000000000000000000010010000000000101010111111111111111110101111101111101110100000010000001000100001000000010000000000000100000000000000011100001000
125;108;NixMoney EUR;EUR NixMoney;978;1;0000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000001100000100000000000001000111111000000000010000000000000000000000000000000000000000000000000000000000000000000000000
126;124;Binance RUB;RUB Binance;643;2;1000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
127;81;QIWI KZT;KZT QIWI;398;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
128;77;Perfect Money BTC;BTC PM;1050;1;1011111111111111110111111111111011111111101111111111111111111101111111100011111111011111111111000010100000100001001000000000000101000100111111111111110111111111111111111100000000000000000111111111100000000000000010010000000000000011100000000
